iid,id,gender,idg,condtn,wave,round,position,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
19,9,1,18,1,1,10,5.5,28,8,2,1,1,4,1,1,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,50,0,25,10,0,15,40,15,20,10,10,5,10,6,10,10,10
20,10,1,20,1,1,10,5.5,24,8,2,1,1,1,1,1,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10,6,100,0,0,0,0,0,50,10,10,10,10,10,7,7,10,10,10
21,1,0,1,2,2,16,5,21,5,4,8,10,6,7,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5,12,18,20,16,16,18,35,15,10,15,5,20,5,9,7,9,10
22,2,0,3,2,2,16,7,27,9,1,1,2,1,6,2,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4,20,20,20,10,10,20,50,10,10,10,10,10,7,8,7,8,7
23,3,0,5,2,2,16,3,21,3,4,9,6,1,1,1,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5,10,20,40,10,10,10,40,5,20,20,5,10,5,8,6,7,8
24,4,0,7,2,2,16,10,27,11,2,2,3,2,6,4,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5,10,20,20,15,20,15,35,10,15,20,10,10,7,9,9,8,8
25,5,0,9,2,2,16,12,25,11,2,10,2,1,5,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,5,20,20,15,15,15,15,30,15,10,20,10,15,7,9,7,8,6
26,6,0,11,2,2,16,13,23,11,2,2,4,1,5,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7,20,20,20,15,15,10,25,10,10,25,20,10,7,8,8,8,8
27,7,0,13,2,2,16,4,22,3,3,1,5,1,6,2,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,5,17,10,18,20,25,10,30,5,15,20,10,20,6,6,7,7,7
29,9,0,17,2,2,16,9,22,11,2,4,5,1,6,1,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7,20,22,18,15,15,10,35,15,10,20,15,5,6,9,8,7,8
30,10,0,19,2,2,16,15,23,1,2,2,4,1,7,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,3,10,20,20,20,20,10,35,5,15,20,10,15,7,8,9,8,8
31,11,0,21,2,2,16,8,24,1,2,4,8,1,4,3,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5,35,10,20,20,10,5,40,10,10,25,5,10,8,8,9,8,9
32,12,0,23,2,2,16,18,27,3,4,1,1,1,4,2,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,3,50,0,50,0,0,0,95,0,0,5,0,0,7,5,9,9,7
33,13,0,25,2,2,16,19,30,3,2,4,8,6,6,1,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4,30,20,30,10,0,10,95,1,1,1,1,1,6,8,6,8,8
34,14,0,27,2,2,16,2,21,8,4,2,2,1,6,2,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6,30,5,30,15,15,5,20,20,25,20,5,10,7,7,7,7,8
35,15,0,29,2,2,16,17,25,2,2,9,7,1,6,3,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,7,20,23,23,22,7,5,40,10,15,15,10,10,8,9,9,9,7
36,16,0,31,2,2,16,6,26,2,2,7,8,2,5,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,6,20,25,20,15,15,5,40,5,10,30,5,10,8,7,8,8,6
37,17,0,33,2,2,16,11,27,3,2,5,8,2,6,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,7,10,10,30,25,10,15,30,10,15,20,10,15,7,8,7,9,5
38,19,0,34,2,2,16,14,23,1,1,8,1,1,4,3,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2,50,10,20,10,10,0,70,5,5,15,0,5,8,2,7,8,8
39,20,0,35,2,2,16,16,24,1,3,6,4,5,6,4,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,2,20,20,20,15,15,10,55,5,10,15,5,10,6,9,6,8,7
42,3,1,6,2,2,19,11.06666667,23,5,4,1,6,2,7,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1,6,20,25,20,15,10,10,25,10,10,30,5,20,6,9,6,8,4
43,4,1,8,2,2,19,10.625,24,8,2,1,1,6,6,3,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1,3,25,35,30,10,0,0,20,25,20,20,5,10,3,8,3,7,2
44,5,1,10,2,2,19,10.4,24,3,2,3,3,1,3,1,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,7,25,15,25,25,15,15,50,5,15,20,5,5,7,9,8,9,9
45,6,1,12,2,2,19,10.52941176,28,8,2,6,6,2,6,3,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3,7,25,15,25,15,0,20,20,20,20,10,10,20,7,8,6,8,7
46,7,1,14,2,2,19,10.13333333,26,8,2,2,3,2,6,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,7,20,35,20,10,10,5,20,20,20,25,5,10,7,8,5,7,7
47,8,1,16,2,2,19,10.8,30,8,2,2,2,1,6,1,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1,8,20,20,25,25,5,5,25,20,20,15,15,5,8,7,9,9,3
48,9,1,18,2,2,19,9.666666667,22,12,2,9,2,1,5,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2,6,30,15,25,25,5,0,30,15,25,25,5,0,7,9,6,7,6
49,10,1,20,2,2,19,10.52941176,25,8,4,1,3,1,3,2,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7,6,20,20,20,20,5,15,30,15,15,15,15,10,7,10,10,10,8
50,11,1,22,2,2,19,13.5,27,1,1,4,4,6,6,2,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,5,35,10,20,15,10,10,60,10,5,5,10,10,8,9,9,10,8
51,12,1,24,2,2,19,10.5,23,1,2,5,10,1,5,3,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1,3,25,10,35,15,0,15,25,5,15,20,30,5,6,8,2,10,2
52,13,1,26,2,2,19,10.5,21,1,2,10,9,1,4,1,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,15,20,15,30,5,15,10,15,20,20,25,10,5,8,6,8,7
53,14,1,28,2,2,19,11,28,4,2,2,2,2,6,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,6,40,15,20,10,5,10,30,15,20,15,10,10,8,9,8,8,8
54,15,1,30,2,2,19,10.85714286,28,8,2,1,1,5,5,1,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3,7,40,20,20,20,0,0,20,30,10,20,10,10,8,9,8,8,8
55,16,1,32,2,2,19,11.0625,23,1,1,1,1,6,4,2,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1,7,20,25,25,10,10,10,20,20,20,10,20,10,6,10,10,9,10
56,1,0,1,1,3,10,5,23,11,2,10,9,1,3,1,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3,17,18,18,15,17,15,32,10,12,27,7,12,10,10,9,8,5
57,2,0,3,1,3,10,4,22,11,2,10,10,3,5,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9,10,20,20,20,15,15,10,20,20,20,20,10,6,10,10,9,10
60,5,0,9,1,3,10,6,29,3,6,3,10,4,6,2,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4,5,20,25,15,15,20,60,10,10,10,5,5,7,9,9,9,9
61,6,0,11,1,3,10,9,28,7,2,1,5,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7
62,7,0,13,1,3,10,3,26,1,3,1,1,2,7,2,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5,30,10,20,20,10,10,60,5,5,10,10,10,9,9,9,9,9
63,8,0,15,1,3,10,2,24,1,4,1,3,3,6,1,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6,5,15,45,25,0,10,50,5,20,15,0,10,6,8,9,8,7
64,9,0,17,1,3,10,10,27,11,4,6,3,2,6,5,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3,10,25,25,10,10,20,20,15,15,20,15,15,8,8,6,9,9
65,10,0,19,1,3,10,1,23,11,6,6,3,2,5,3,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7,17,17,17,17,17,15,20,18,18,14,15,15,7,9,9,8,9
66,1,1,2,1,3,10,4.166666667,29,8,3,1,1,2,6,4,7,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2,5,20,25,15,15,53,20,15,20,20,20,10,15,6,7,7,8,8
67,2,1,4,1,3,10,4.857142857,22,1,6,1,1,6,5,2,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1,5,20,15,20,20,5,10,17,20,17,20,11,15,5,7,6,7,7
68,3,1,6,1,3,10,5,27,6,1,1,1,5,4,3,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1,5,21,17,22,20,8,13,18,15,17,14,20,16,6,8,7,8,8
69,4,1,8,1,3,10,4.857142857,28,8,2,2,2,6,6,1,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1,3,50,10,30,10,0,0,20,10,40,20,10,0,5,9,5,8,8
70,5,1,10,1,3,10,5,26,8,2,5,1,5,2,1,7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6,3,25,10,20,20,15,10,20,5,25,30,15,5,8,6,8,9,6
71,6,1,12,1,3,10,5.428571429,21,1,2,6,7,5,6,2,14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1,9,60,15,0,15,0,10,80,10,0,10,0,0,6,8,8,10,10
72,7,1,14,1,3,10,5.285714286,22,5,2,8,1,5,6,1,7,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4,7,21,20,19,20,10,10,30,15,10,20,10,15,7,9,8,8,8
73,8,1,16,1,3,10,3,22,8,2,7,3,6,4,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1,2,30,10,20,30,0,10,20,10,20,30,10,10,7,7,8,7,8
74,9,1,18,1,3,10,5,25,5,2,3,1,5,7,2,5,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5,9,30,0,30,30,10,0,30,0,10,30,10,20,7,9,9,8,7
75,10,1,20,1,3,10,4.857142857,24,1,6,3,3,6,5,3,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5,5,20,20,20,20,10,10,15,15,15,20,20,15,7,7,8,8,8
76,1,0,1,2,4,18,5,34,6,2,5,7,2,7,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6,10,10,30,20,10,20,50,10,10,10,10,10,6,6,6,8,4
77,2,0,3,2,4,18,10,22,11,2,2,2,1,4,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,15,20,20,20,15,10,40,5,20,20,10,5,6,8,8,8,8
78,3,0,5,2,4,18,16,23,11,3,1,4,2,7,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7,10,25,20,10,20,15,40,5,10,20,10,15,3,10,3,8,8
79,4,0,7,2,4,18,15,26,5,4,8,8,2,7,1,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,5,10,20,15,20,20,15,15,15,15,20,15,20,7,9,8,7,7
80,5,0,9,2,4,18,14,27,10,4,3,1,1,5,4,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7,10,20,20,10,20,20,25,20,10,20,10,15,8,8,8,8,8
81,6,0,11,2,4,18,1,28,6,2,6,9,5,5,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,5,10,10,20,20,20,20,40,5,15,20,10,10,8,7,8,7,7
82,7,0,13,2,4,18,6,25,9,6,2,7,1,3,2,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,7,20,20,20,20,10,10,30,15,20,20,5,10,8,9,8,8,7
83,8,0,15,2,4,18,12,35,8,3,1,5,2,6,1,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6,10,32,20,12,11,15,15,25,10,15,10,25,5,9,9,5,5
84,9,0,17,2,4,18,13,32,10,3,1,1,2,4,1,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,7,30,30,30,5,0,5,50,5,5,20,0,20,7,9,7,8,5
85,10,0,19,2,4,18,2,30,11,2,3,5,2,6,4,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,4,20,25,15,15,15,10,25,15,15,25,10,10,7,9,9,8,9
86,11,0,21,2,4,18,7,22,3,2,1,1,2,7,1,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,6,15,20,20,20,5,20,40,10,10,10,10,20,7,9,9,9,4
87,12,0,23,2,4,18,9,23,11,2,8,10,1,3,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4,15,15,20,15,15,20,15,15,20,15,15,20,9,9,9,9,9
88,13,0,25,2,4,18,8,23,11,2,8,7,1,4,4,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,5,15,15,20,15,20,15,15,15,20,15,20,15,9,9,9,9,9
89,14,0,27,2,4,18,3,27,8,2,3,2,1,7,3,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,5,25,15,20,20,20,0,50,10,10,20,5,5,8,9,8,9,10
90,15,0,29,2,4,18,4,23,10,4,4,1,2,7,7,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5,15,21,18,18,10,18,10,25,15,15,10,25,5,8,5,7,5
91,16,0,31,2,4,18,11,25,1,6,6,8,1,3,2,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,5,15,3,50,20,2,10,65,0,8,20,2,5,6,7,7,9,8
92,17,0,33,2,4,18,17,29,9,2,1,2,5,6,1,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,5,10,20,20,20,20,10,30,10,10,30,10,10,9,10,9,9,9
93,18,0,35,2,4,18,18,29,5,2,2,2,1,5,1,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6,14,20,18,24,18,6,30,15,15,20,10,10,8,8,8,8,7
94,1,1,2,2,4,18,9.235294118,28,8,4,6,8,2,6,3,7,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5,5,20,20,20,10,10,20,50,0,30,20,0,0,6,9,9,9,7
95,2,1,4,2,4,18,9.5,26,8,2,7,5,1,5,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3,6,18,18,18,19,13,14,16,15,19,23,14,13,7,9,8,10,7
96,3,1,6,2,4,18,10.57142857,26,5,3,3,6,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9
97,4,1,8,2,4,18,8.166666667,29,10,2,4,1,2,5,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5,5,50,7,20,23,0,0,30,10,12,8,30,10,7,5,7,6,6
99,6,1,12,2,4,18,8.866666667,28,1,2,1,1,3,3,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5,8,30,30,20,10,10,0,20,20,20,10,25,5,10,10,10,10,8
100,7,1,14,2,4,18,9.333333333,30,8,6,8,9,1,3,2,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2,5,20,25,25,15,5,10,20,15,20,15,15,15,7,8,8,9,6
101,8,1,16,2,4,18,4.333333333,22,8,4,3,2,3,4,3,7,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4,7,40,8,10,12,10,20,20,10,10,30,10,20,8,8,8,9,9
102,9,1,18,2,4,18,9.375,32,10,2,2,6,1,4,4,2,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2,6,30,10,30,20,10,0,10,30,20,30,10,0,8,5,7,10,9
103,10,1,20,2,4,18,9.375,26,8,2,8,9,2,4,1,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3,6,40,5,20,10,10,15,40,5,10,20,15,10,8,8,8,9,9
104,11,1,22,2,4,18,9.4375,27,10,2,6,8,2,5,3,2,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7,8,20,15,25,15,20,5,15,20,20,20,15,10,9,8,7,9,9
105,12,1,24,2,4,18,9.6875,25,1,1,1,1,2,7,1,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5,5,30,15,20,20,0,5,25,15,20,15,10,15,8,7,9,8,6
106,13,1,26,2,4,18,9.4375,22,1,3,1,3,5,7,3,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3,5,10,20,35,10,5,20,20,15,20,20,5,20,4,7,3,9,2
107,14,1,28,2,4,18,9.6875,21,7,2,1,1,1,4,1,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,6,19,24,21,23,5,8,22,20,18,23,10,7,7,9,9,9,6
108,15,1,30,2,4,18,9.5,24,5,2,1,1,1,6,3,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2,5,10,20,35,20,0,15,25,25,15,15,10,10,4,8,3,7,2
109,16,1,32,2,4,18,9.5,25,14,4,1,1,1,4,1,6,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,5,15,10,30,10,5,30,20,15,15,15,20,15,6,9,8,9,8
110,17,1,34,2,4,18,8.571428571,28,14,2,4,6,2,6,1,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,6,20,20,15,15,5,25,20,20,15,15,5,25,7,9,8,8,7
111,18,1,36,2,4,18,9.375,27,8,4,7,1,5,5,1,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,9,20,20,20,20,10,10,25,20,15,15,10,15,5,8,5,8,5
112,1,0,1,1,5,10,6,20,3,6,1,1,1,3,1,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4,15,15,20,25,10,15,45,15,10,20,0,5,9,10,9,9,9
113,2,0,3,1,5,10,9,21,8,2,3,8,1,4,1,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7,15,15,25,25,15,5,30,5,15,25,10,20,8,10,10,8,9
115,4,0,7,1,5,10,1,21,3,2,10,7,1,5,1,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3,20,10,30,20,15,5,40,10,20,20,0,10,8,7,8,9,8
116,5,0,9,1,5,10,8,21,13,2,4,1,1,1,1,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7,15,15,25,25,20,0,30,5,10,30,5,20,8,9,8,9,9
117,6,0,11,1,5,10,2,21,8,2,8,10,1,3,1,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6,20,10,20,20,20,10,20,10,15,20,15,20,8,7,8,8,8
119,10,0,17,1,5,10,5,19,16,3,5,2,1,3,1,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4,50,15,10,10,10,5,70,5,5,10,5,5,8,10,10,10,10
120,11,0,19,1,5,10,3,20,6,3,1,4,5,4,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3,10,10,35,35,8,2,50,1,20,20,2,7,6,8,8,8,9
121,12,0,20,1,5,10,10,21,3,2,8,1,5,7,1,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,2,35,15,5,30,15,0,60,5,0,20,0,15,2,9,9,7,9
122,1,1,2,1,5,10,5.666666667,22,1,6,1,1,1,3,1,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4,6,40,15,10,20,5,10,50,10,10,10,10,10,7,10,8,8,8
123,2,1,4,1,5,10,6.285714286,18,5,4,3,5,2,5,1,4,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5,5,50,10,20,5,5,10,20,50,10,5,5,10,8,7,7,7,8
124,3,1,6,1,5,10,6.285714286,22,8,4,1,1,2,4,1,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7,6,40,10,10,10,10,20,20,30,10,10,20,10,8,8,10,10,10
125,4,1,8,1,5,10,5.75,21,4,2,3,1,1,3,1,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7,6,20,15,20,15,12,18,25,10,15,15,15,20,9,6,10,9,10
126,5,1,10,1,5,10,5.75,22,7,2,7,5,4,6,3,4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7,6,25,40,15,10,5,5,20,20,15,20,15,10,9,10,9,9,9
127,6,1,12,1,5,10,5.5,22,5,2,1,1,6,5,1,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10,1,25,25,25,15,5,5,20,20,20,20,10,10,8,8,9,9,8
128,7,1,14,1,5,10,5.75,21,5,2,3,1,1,3,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,5,40,15,10,20,10,5,25,15,20,20,10,10,8,7,7,8,7
131,10,1,18,1,5,10,6.6,19,5,4,4,1,2,7,3,10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3,5,25,10,20,20,10,15,30,10,20,20,10,10,4,6,4,6,6
132,1,0,1,1,6,5,2,27,8,2,10,1,1,7,2,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5,16.67,16.67,16.67,16.67,16.67,16.67,22.73,15.91,13.64,15.91,13.64,18.18,8,10,10,9,10
133,2,0,3,1,6,5,3,24,5,4,8,6,1,6,5,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5,12.77,19.15,17.02,17.02,14.89,19.15,24.32,16.22,13.51,16.22,10.81,18.92,6,8,7,8,7
134,3,0,5,1,6,5,4,23,10,2,8,10,1,5,3,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8,6.67,20,20,17.78,20,15.56,20.51,15.38,12.82,20.51,12.82,17.95,7,8,8,8,8
137,1,1,2,1,6,5,3,26,8,4,1,1,1,4,1,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3,7,17.39,17.39,15.22,17.39,13.04,19.57,14.89,17.02,17.02,17.02,14.89,19.15,7,9,8,9,8
138,2,1,4,1,6,5,3,32,8,2,9,6,1,3,2,7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2,6,20,20,20,20,6.67,13.33,18.37,18.37,16.33,16.33,16.33,14.29,8,8,8,8,8
139,4,1,6,1,6,5,3.5,37,5,4,6,1,1,6,3,2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8,8,18.75,16.67,18.75,20.83,12.5,12.5,19.61,19.61,15.69,19.61,11.76,13.73,8,8,9,9,6
140,6,1,9,1,6,5,3,29,8,2,5,5,1,5,2,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3,6,18.6,16.28,18.6,18.6,11.63,16.28,15.56,17.78,17.78,15.56,15.56,17.78,7,7,9,8,8
141,10,1,10,1,6,5,3,28,8,3,4,4,1,6,2,7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6,4,20.83,20.83,16.67,16.67,6.25,18.75,19.05,7.14,19.05,23.81,21.43,9.52,7,9,8,8,6
