iid,gender,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,like_o,prob_o,met_o,dec,attr,sinc,intel,fun,amb,like,prob,met
6,0,3,8,18,0,0.03,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,7,6,2,0,4,8,9,2,8,5,5,2
6,0,9,9,19,1,0.46,0,28,2,50,0,25,10,0,15,1,6,7,7,6,6,6,6,2,1,7,6,8,8,6,9,6,2
6,0,10,10,20,0,0.43,0,24,2,100,0,0,0,0,0,0,7,10,10,6,10,6,7,2,1,8,9,9,9,10,9,8,2
7,0,2,1,11,0,0.19,0,27,2,35,20,20,20,0,5,0,7,8,8,8,7,7,4,2,0,4,8,8,5,7,7,4,2
7,0,1,2,12,0,0.21,0,22,2,60,0,0,40,0,0,1,7,9,10,6,6,8,4,1,0,6,6,8,4,9,7,3,1
7,0,3,4,14,1,-0.46,0,23,2,30,5,15,40,5,5,1,8,8,9,8,9,8,7,1,1,7,8,8,7,7,8,6,1
7,0,5,5,15,0,-0.27,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,8,4,2,0,4,7,7,4,8,5,6,1
7,0,4,6,16,0,0.59,0,25,2,50,0,30,10,0,10,1,8,8,8,6,6,7,7,2,0,4,8,7,4,5,5,5,2
7,0,9,7,17,0,0.31,0,30,2,35,15,25,10,5,10,0,7,6,5,4,4,5,4,2,1,7,7,8,7,7,8,7,2
7,0,10,8,18,0,0.08,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,7,5,2,0,5,7,8,5,9,5,7,2
7,0,6,9,19,1,-0.34,0,28,2,50,0,25,10,0,15,1,9,7,9,9,9,9,9,2,1,6,6,8,8,8,6,6,2
7,0,7,10,20,0,-0.16,0,24,2,100,0,0,0,0,0,0,7,6,8,6,8,7,7,2,1,8,6,7,7,8,7,5,2
8,0,7,1,11,0,-0.03,1,27,2,35,20,20,20,0,5,0,8,7,6,6,6,7,4,2,1,5,8,7,4,7,4,5,2
8,0,6,2,12,1,-0.11,1,22,2,60,0,0,40,0,0,1,8,8,10,7,6,9,4,2,1,8,7,7,9,6,8,7,2
8,0,3,3,13,1,0.42,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,2,1,5,8,8,6,7,5,5,2
8,0,8,4,14,1,-0.4,1,23,2,30,5,15,40,5,5,1,8,8,8,8,8,8,7,2,1,8,6,5,6,6,5,6,2
8,0,9,6,16,1,0.28,1,25,2,50,0,30,10,0,10,1,8,7,7,7,8,7,6,2,1,6,8,8,5,6,6,5,2
8,0,4,7,17,0,0.05,1,30,2,35,15,25,10,5,10,0,6,4,7,5,6,4,4,2,1,6,7,8,5,7,6,6,2
8,0,5,8,18,1,0.17,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,9,8,8,8,7,7,5,2,1,5,6,7,4,5,5,4,2
8,0,1,9,19,1,-0.47,1,28,2,50,0,25,10,0,15,1,8,7,8,10,8,8,8,2,1,8,8,5,9,8,7,10,2
8,0,2,10,20,1,-0.21,1,24,2,100,0,0,0,0,0,1,8,10,9,9,8,8,8,2,1,7,6,8,7,9,8,7,2
9,0,8,1,11,0,0.19,0,27,2,35,20,20,20,0,5,0,6,8,7,8,7,6,4,2,1,8,10,9,8,7,5,5,2
9,0,7,2,12,1,0.03,0,22,2,60,0,0,40,0,0,1,8,8,10,7,6,8,4,2,1,10,10,10,10,10,10,5,2
9,0,4,3,13,1,0.68,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,2,1,5,10,10,6,6,8,5,2
9,0,9,4,14,1,-0.26,0,23,2,30,5,15,40,5,5,1,7,8,7,8,8,7,7,2,1,10,9,8,8,7,7,5,2
9,0,1,5,15,1,-0.01,0,24,3,30,10,20,10,10,20,1,7,9,8,9,7,7,8,2,1,5,10,8,8,5,5,5,2
9,0,10,6,16,1,0.42,0,25,2,50,0,30,10,0,10,1,6,6,7,8,7,6,5,2,1,8,9,9,7,6,6,5,2
9,0,5,7,17,1,0.21,0,30,2,35,15,25,10,5,10,1,8,6,7,8,6,8,4,2,1,6,8,9,6,6,7,5,2
9,0,6,8,18,0,0.1,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,7,5,2,1,6,7,8,7,9,7,5,2
9,0,2,9,19,1,-0.35,0,28,2,50,0,25,10,0,15,1,6,6,6,7,6,6,6,2,1,8,5,5,6,5,7,6,2
9,0,3,10,20,0,-0.23,0,24,2,100,0,0,0,0,0,0,5,6,6,6,6,6,6,2,1,7,8,7,8,7,8,5,2
10,0,9,1,11,0,0.3,1,27,2,35,20,20,20,0,5,0,7,8,7,8,6,6,3,2,0,6,10,10,6,6,6,3,2
10,0,8,2,12,0,0.65,1,22,2,60,0,0,40,0,0,0,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1
10,0,5,3,13,1,-0.15,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,2,1,6,10,10,10,6,7,6,2
10,0,10,4,14,0,0.17,1,23,2,30,5,15,40,5,5,1,7,8,7,9,8,7,7,1,0,10,10,10,10,10,10,1,1
10,0,2,5,15,0,0.24,0,24,3,30,10,20,10,10,20,1,6,9,9,7,8,6,6,2,0,5,7,7,7,7,6,1,2
10,0,6,7,17,0,0.41,1,30,2,35,15,25,10,5,10,0,7,7,4,3,4,3,6,2,1,5,10,8,6,9,7,1,2
10,0,7,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,6,6,6,6,7,6,2,0,5,6,6,4,5,5,5,2
10,0,3,9,19,1,0.49,1,28,2,50,0,25,10,0,15,1,7,7,7,7,6,7,8,2,1,9,9,9,9,9,9,9,2
10,0,4,10,20,0,0.08,1,24,2,100,0,0,0,0,0,0,6,6,6,6,6,7,7,2,1,9,9,8,10,8,9,10,2
11,1,4,1,1,0,0.14,0,21,4,15,20,20,15,15,15,1,6,9,7,7,6,7,6,2,0,6,8,8,8,8,7,4,2
11,1,10,2,2,0,0.29,1,24,2,45,5,25,20,0,5,0,5,7,8,4,6,6,4,2,0,8,7,6,9,7,7,2,2
11,1,6,3,3,0,-0.24,1,25,2,35,10,35,10,10,0,0,7,9,10,7,8,8,7,1,0,7,8,6,5,8,5,2,1
11,1,3,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,4,10,8,5,8,6,7,2,0,6,7,8,7,7,6,3,2
11,1,1,5,5,0,-0.43,1,21,2,20,5,25,25,10,15,0,5,8,8,2,2,7,5,2,0,6,8,8,8,7,6,5,2
11,1,5,6,6,0,0.33,0,23,4,10,25,20,25,5,15,1,6,9,7,6,7,6,6,2,0,7,9,8,9,8,7,4,2
11,1,2,7,7,0,0.19,0,22,4,15,15,25,20,15,10,0,4,8,8,5,7,7,4,2,0,7,8,8,8,7,7,4,2
11,1,7,8,8,0,-0.03,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,7,4,7,4,5,2,0,8,7,6,6,6,7,4,2
11,1,8,9,9,0,0.19,0,26,6,20,10,20,30,10,10,1,8,10,9,8,7,5,5,2,0,6,8,7,8,7,6,4,2
11,1,9,10,10,0,0.3,1,26,2,15,15,15,40,10,5,0,6,10,10,6,6,6,3,2,0,7,8,7,8,6,6,3,2
12,1,3,1,1,0,0.54,0,21,4,15,20,20,15,15,15,1,7,8,7,8,5,7,5,1,0,7,8,10,7,7,8,4,2
12,1,9,2,2,0,0.18,1,24,2,45,5,25,20,0,5,0,8,5,6,6,9,7,3,2,0,7,6,10,6,6,8,4,2
12,1,5,3,3,0,-0.14,1,25,2,35,10,35,10,10,0,0,9,7,9,8,9,8,7,2,0,6,7,10,6,6,7,3,2
12,1,2,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,0,8,7,8,10,7,8,1,1,0,6,5,10,6,6,6,3,1
12,1,10,5,5,0,0,1,21,2,20,5,25,25,10,15,0,8,6,6,5,5,6,4,1,0,6,7,10,7,6,7,4,1
12,1,4,6,6,0,0.37,0,23,4,10,25,20,25,5,15,1,6,9,9,6,8,7,6,2,0,6,8,10,6,7,7,4,2
12,1,1,7,7,0,0.21,0,22,4,15,15,25,20,15,10,0,6,6,8,4,9,7,3,1,1,7,9,10,6,6,8,4,1
12,1,6,8,8,1,-0.11,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,7,7,9,6,8,7,2,1,8,8,10,7,6,9,4,2
12,1,7,9,9,1,0.03,0,26,6,20,10,20,30,10,10,1,10,10,10,10,10,10,5,2,1,8,8,10,7,6,8,4,2
12,1,8,10,10,0,0.65,1,26,2,15,15,15,40,10,5,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2
13,1,6,2,2,0,0.1,0,24,2,45,5,25,20,0,5,0,5,8,9,6,3,6,7,2,1,10,10,10,10,10,10,10,2
13,1,2,3,3,0,0.09,0,25,2,35,10,35,10,10,0,0,7,9,9,7,9,8,7,2,1,10,10,10,10,10,10,10,2
13,1,7,5,5,0,-0.17,0,21,2,20,5,25,25,10,15,0,4,6,8,8,6,6,5,1,1,10,10,10,10,10,10,10,1
13,1,1,6,6,0,-0.51,1,23,4,10,25,20,25,5,15,0,4,7,9,4,3,6,2,1,1,10,10,10,10,10,10,10,1
13,1,3,8,8,1,0.42,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,8,6,7,5,5,2,1,10,10,10,10,10,10,10,2
13,1,4,9,9,1,0.68,0,26,6,20,10,20,30,10,10,1,5,10,10,6,6,8,5,2,1,10,10,10,10,10,10,10,2
13,1,5,10,10,1,-0.15,0,26,2,15,15,15,40,10,5,1,6,10,10,10,6,7,6,2,1,10,10,10,10,10,10,10,2
14,1,5,1,1,1,0.61,0,21,4,15,20,20,15,15,15,1,7,6,8,7,6,7,6,2,1,7,8,9,8,9,7,7,2
14,1,1,2,2,1,-0.21,1,24,2,45,5,25,20,0,5,1,7,9,7,6,5,7,8,2,1,9,9,9,9,9,9,7,2
14,1,7,3,3,0,-0.04,1,25,2,35,10,35,10,10,0,0,9,7,9,7,9,8,7,2,1,7,9,8,8,8,7,7,2
14,1,4,4,4,1,-0.18,1,23,2,20,20,20,20,10,10,1,8,10,7,10,7,8,10,1,1,7,7,7,9,9,8,10,1
14,1,2,5,5,1,0.08,1,21,2,20,5,25,25,10,15,1,8,5,5,7,7,8,2,1,1,6,8,6,8,10,7,7,1
14,1,6,6,6,1,0.12,0,23,4,10,25,20,25,5,15,1,8,6,7,8,2,9,4,2,1,6,8,8,7,9,7,7,2
14,1,3,7,7,1,-0.46,0,22,4,15,15,25,20,15,10,1,7,8,8,7,7,8,6,1,1,8,8,9,8,9,8,7,1
14,1,8,8,8,1,-0.4,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,6,5,6,2,1,8,8,8,8,8,8,7,2
14,1,9,9,9,1,-0.26,0,26,6,20,10,20,30,10,10,1,10,9,8,8,7,7,5,2,1,7,8,7,8,8,7,7,2
14,1,10,10,10,0,0.17,1,26,2,15,15,15,40,10,5,0,10,10,10,10,10,10,1,1,1,7,8,7,9,8,7,7,1
15,1,7,1,1,1,0.21,0,21,4,15,20,20,15,15,15,1,5,6,7,7,6,6,6,2,1,8,7,9,6,9,8,6,2
15,1,3,2,2,0,0.32,0,24,2,45,5,25,20,0,5,0,6,8,7,9,7,8,6,1,1,10,10,10,10,7,10,1,1
15,1,6,4,4,0,0.21,0,23,2,20,20,20,20,10,10,0,6,9,8,9,8,7,7,2,1,8,8,9,8,8,9,7,2
15,1,4,5,5,0,-0.16,0,21,2,20,5,25,25,10,15,0,6,7,7,5,4,7,4,2,0,5,9,9,7,9,5,7,2
15,1,8,6,6,0,0.35,0,23,4,10,25,20,25,5,15,0,5,4,8,8,4,4,3,1,1,9,7,9,7,9,9,2,1
15,1,5,7,7,0,-0.27,0,22,4,15,15,25,20,15,10,0,4,7,7,4,8,5,6,1,1,8,7,9,6,9,8,4,2
15,1,1,9,9,1,-0.01,0,26,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5,2,1,7,9,8,9,7,7,8,2
15,1,2,10,10,0,0.24,0,26,2,15,15,15,40,10,5,0,5,7,7,7,7,6,1,2,1,6,9,9,7,8,6,6,2
16,1,6,1,1,0,0.25,0,21,4,15,20,20,15,15,15,0,4,9,7,4,6,6,5,2,1,7,7,8,8,7,7,6,2
16,1,2,2,2,0,0.73,1,24,2,45,5,25,20,0,5,0,8,7,8,3,6,6,5,2,1,7,8,7,5,7,7,5,2
16,1,5,4,4,0,0.37,1,23,2,20,20,20,20,10,10,0,5,10,8,4,8,4,3,2,1,6,6,7,7,8,6,6,2
16,1,3,5,5,0,0.06,1,21,2,20,5,25,25,10,15,1,5,6,7,5,7,7,3,2,0,5,8,7,7,7,6,7,2
16,1,7,6,6,0,0.19,0,23,4,10,25,20,25,5,15,0,3,7,6,1,1,2,2,2,1,6,6,8,8,8,6,6,2
16,1,4,7,7,0,0.59,0,22,4,15,15,25,20,15,10,0,4,8,7,4,5,5,5,2,1,8,8,8,6,6,7,7,2
16,1,9,8,8,1,0.28,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,6,5,2,1,8,7,7,7,8,7,6,2
16,1,10,9,9,1,0.42,0,26,6,20,10,20,30,10,10,1,8,9,9,7,6,6,5,2,1,6,6,7,8,7,6,5,2
17,1,1,1,1,0,0.34,0,21,4,15,20,20,15,15,15,1,7,6,7,4,6,6,5,2,0,3,6,7,5,8,2,1,2
17,1,7,2,2,0,0.6,1,24,2,45,5,25,20,0,5,1,7,5,9,6,7,8,7,2,0,5,3,4,3,5,4,3,2
17,1,3,3,3,0,-0.26,1,25,2,35,10,35,10,10,0,0,8,9,10,7,7,8,7,2,0,6,3,5,4,5,2,2,2
17,1,10,4,4,0,0.35,1,23,2,20,20,20,20,10,10,0,7,10,10,7,10,5,1,2,1,7,6,3,5,6,6,4,2
17,1,8,5,5,0,-0.05,1,21,2,20,5,25,25,10,15,1,6,6,8,5,5,6,3,2,0,2,3,4,4,5,3,3,2
17,1,2,6,6,0,0.47,0,23,4,10,25,20,25,5,15,1,8,8,8,8,3,8,7,2,0,5,6,8,4,5,3,3,2
17,1,9,7,7,0,0.31,0,22,4,15,15,25,20,15,10,1,7,7,8,7,7,8,7,2,0,7,6,5,4,4,5,4,2
17,1,4,8,8,0,0.05,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,7,8,5,7,6,6,2,0,6,4,7,5,6,4,4,2
17,1,5,9,9,1,0.21,0,26,6,20,10,20,30,10,10,1,6,8,9,6,6,7,5,2,1,8,6,7,8,6,8,4,2
17,1,6,10,10,0,0.41,1,26,2,15,15,15,40,10,5,1,5,10,8,6,9,7,1,2,0,7,7,4,3,4,3,6,2
18,1,8,2,2,0,0.07,1,24,2,45,5,25,20,0,5,0,5,8,7,5,9,5,6,2,1,7,7,7,7,7,7,6,2
18,1,4,3,3,0,0.29,1,25,2,35,10,35,10,10,0,0,7,9,9,8,9,8,7,2,0,4,5,6,4,6,5,1,2
18,1,1,4,4,0,0.15,1,23,2,20,20,20,20,10,10,0,5,9,9,5,9,6,6,2,0,6,7,8,6,6,7,7,2
18,1,9,5,5,0,0.07,1,21,2,20,5,25,25,10,15,1,5,5,7,6,7,6,4,2,0,5,5,6,5,5,6,5,2
18,1,3,6,6,0,0.03,0,23,4,10,25,20,25,5,15,0,4,8,9,2,8,5,5,2,0,6,7,8,7,8,7,6,2
18,1,10,7,7,0,0.08,0,22,4,15,15,25,20,15,10,0,5,7,8,5,9,5,7,2,1,8,7,6,7,7,7,5,2
18,1,5,8,8,1,0.17,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,6,7,4,5,5,4,2,1,9,8,8,8,7,7,5,2
18,1,6,9,9,0,0.1,0,26,6,20,10,20,30,10,10,1,6,7,8,7,9,7,5,2,0,7,7,7,7,6,7,5,2
18,1,7,10,10,0,0.07,1,26,2,15,15,15,40,10,5,0,5,6,6,4,5,5,5,2,0,6,6,6,6,6,7,6,2
19,1,8,1,1,1,0.28,0,21,4,15,20,20,15,15,15,1,7,6,8,9,8,7,7,2,1,7,7,8,8,8,6.5,8,2
19,1,4,2,2,1,0.11,1,24,2,45,5,25,20,0,5,1,7,6,8,9,4,5,6,2,1,8,6,9,9,8,8,8,2
19,1,10,3,3,0,-0.15,1,25,2,35,10,35,10,10,0,0,9,9,9,9,9,9,7,2,1,7,7,6,8,7,7,7,2
19,1,7,4,4,1,-0.47,1,23,2,20,20,20,20,10,10,1,9,8,10,10,7,8,8,2,1,7,7,7,10,9,8,8,2
19,1,5,5,5,1,-0.13,1,21,2,20,5,25,25,10,15,1,7,5,7,8,7,9,4,2,1,5,9,9,9,9,7,7,2
19,1,9,6,6,1,0.46,0,23,4,10,25,20,25,5,15,1,7,6,8,8,6,9,6,2,1,6,7,7,6,6,6,6,2
19,1,6,7,7,1,-0.34,0,22,4,15,15,25,20,15,10,1,6,6,8,8,8,6,6,2,1,9,7,9,9,9,9,9,2
19,1,1,8,8,1,-0.47,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,8,5,9,8,7,10,2,1,8,7,8,10,8,8,8,2
19,1,2,9,9,1,-0.35,0,26,6,20,10,20,30,10,10,1,8,5,5,6,5,7,6,2,1,6,6,6,7,6,6,6,2
19,1,3,10,10,1,0.49,1,26,2,15,15,15,40,10,5,1,9,9,9,9,9,9,9,2,1,7,7,7,7,6,7,8,2
20,1,9,1,1,0,-0.36,0,21,4,15,20,20,15,15,15,1,5,6,6,8,10,6,6,2,0,6,6,6,6,6,6,6,2
20,1,5,2,2,0,0.39,1,24,2,45,5,25,20,0,5,1,6,7,8,7,9,8,7,2,0,6,5,7,7,9,6,9,2
20,1,1,3,3,0,-0.47,1,25,2,35,10,35,10,10,0,0,8,7,9,7,9,8,7,2,0,5,6,8,5,8,5,5,2
20,1,8,4,4,0,-0.19,1,23,2,20,20,20,20,10,10,1,8,9,10,10,8,10,8,2,0,7,8,8,7,8,7,7,2
20,1,6,5,5,0,-0.06,1,21,2,20,5,25,25,10,15,1,9,6,7,9,6,10,3,2,0,3,10,7,7,10,4,10,2
20,1,10,6,6,0,0.43,0,23,4,10,25,20,25,5,15,1,8,9,9,9,10,9,8,2,0,7,10,10,6,10,6,7,2
20,1,7,7,7,0,-0.16,0,22,4,15,15,25,20,15,10,1,8,6,7,7,8,7,5,2,0,7,6,8,6,8,7,7,2
20,1,2,8,8,1,-0.21,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,7,6,8,7,9,8,7,2,1,8,10,9,9,8,8,8,2
20,1,3,9,9,0,-0.23,0,26,6,20,10,20,30,10,10,1,7,8,7,8,7,8,5,2,0,5,6,6,6,6,6,6,2
20,1,4,10,10,0,0.08,1,26,2,15,15,15,40,10,5,1,9,9,8,10,8,9,10,2,0,6,6,6,6,6,7,7,2
21,0,6,1,40,0,-0.23,1,25,4,25,20,25,20,10,0,0,3,10,10,6,4,4,1,2,0,6,8,7,9,5,9,1,1
21,0,11,4,43,0,0.43,0,24,2,25,35,30,10,0,0,0,4,5,6,4,6,5,2,2,0,5,8,8,4,9,6,1,2
21,0,15,5,44,0,-0.4,0,24,2,25,15,25,25,15,15,1,6,7,8,6,7,8,8,2,0,7,7,8,5,7,6,1,2
21,0,2,6,45,0,0.01,0,28,2,25,15,25,15,0,20,1,7,8,8,7,9,7,7,2,0,6,8,8,6,8,5,2,2
21,0,5,7,46,0,0.22,0,26,2,20,35,20,10,10,5,0,6,7,10,8,9,8,6,2,0,6,8,8,6,8,8,2,2
21,0,12,8,47,0,-0.06,0,30,2,20,20,25,25,5,5,1,9,5,6,5,5,5,6,2,0,4,7,7,4,7,5,1,2
21,0,16,9,48,0,-0.08,0,22,2,30,15,25,25,5,0,0,3,8,5,5,8,4,2,2,0,7,7,7,5,6,6,1,2
21,0,3,10,49,0,0.28,1,25,4,20,20,20,20,5,15,0,6,7,8,4,6,6,6,2,1,9,9,10,9,9,9,5,2
21,0,13,12,51,0,0.44,0,23,2,25,10,35,15,0,15,0,2,8,8,3,2,5,3,2,0,7,4,6,4,4,2,1,2
21,0,14,13,52,0,0.62,0,21,2,15,20,15,30,5,15,0,6,6,8,6,7,6,3,2,0,5,8,8,5,8,6,1,2
21,0,9,14,53,0,-0.08,0,28,2,40,15,20,10,5,10,0,6,8,8,7,7,7,7,2,0,6,8,7,7,7,6,1,2
21,0,10,15,54,0,-0.2,0,28,2,40,20,20,20,0,0,0,5,7,7,7,7,5,5,2,0,6,8,7,6,8,6,1,2
21,0,1,16,55,0,0.39,0,23,1,20,25,25,10,10,10,0,5,8,10,7,9,6,6,2,0,5,9,9,8,9,8,3,2
22,0,8,1,40,0,0.29,0,25,4,25,20,25,20,10,0,0,4,10,8,8,6,3,1,2,0,5,7,7,6,7,6,4,2
22,0,10,3,42,0,0.44,0,23,4,20,25,20,15,10,10,0,3,6,8,5,5,2,1,2,0,5,6,6,5,6,3,2,2
22,0,13,4,43,0,-0.04,0,24,2,25,35,30,10,0,0,0,4,5,5,3,5,5,2,2,0,5,7,7,5,7,4,3,2
22,0,1,5,44,1,-0.21,0,24,2,25,15,25,25,15,15,1,6,7,6,6,8,6,5,2,1,6,8,8,7,7,6,6,2
22,0,4,6,45,1,-0.02,0,28,2,25,15,25,15,0,20,1,7,7,7,5,6,6,5,2,1,6,7,7,4,6,6,6,2
22,0,7,7,46,0,-0.33,0,26,2,20,35,20,10,10,5,0,5,8,5,5,6,5,5,2,1,8,7,7,7,6,7,4,2
22,0,5,10,49,0,-0.08,0,25,4,20,20,20,20,5,15,0,7,8,7,7,7,7,4,2,0,6,7,7,5,7,5,3,2
22,0,15,12,51,0,-0.52,0,23,2,25,10,35,15,0,15,0,2,2,3,2,2,2,1,2,0,3,4,5,4,4,2,1,2
22,0,16,13,52,0,0.03,0,21,2,15,20,15,30,5,15,0,4,6,7,6,5,4,2,2,0,3,6,7,5,5,2,2,2
22,0,11,14,53,0,0.5,0,28,2,40,15,20,10,5,10,0,6,8,8,7,8,7,5,2,1,7,7,8,6,7,8,5,2
22,0,12,15,54,0,0.33,0,28,2,40,20,20,20,0,0,0,4,7,7,6,6,6,4,2,0,4,5,5,4,5,4,2,2
22,0,3,16,55,0,0.16,1,23,1,20,25,25,10,10,10,0,5,8,9,7,10,7,7,2,1,6,7,7,7,7,7,6,2
23,0,5,1,40,0,0.22,1,25,4,25,20,25,20,10,0,0,5,4,3,7,4,1,1,2,1,5,7,6,6,6,8,6,2
23,0,7,3,42,0,0.41,1,23,4,20,25,20,15,10,10,0,6,10,9,8,9,8,8,2,1,6,6,7,6,6,6.5,5,2
23,0,10,4,43,1,-0.35,0,24,2,25,35,30,10,0,0,1,4,6,5,4,3,6,4,1,1,5,7,8,6,6,7,6,2
23,0,14,5,44,1,-0.17,0,24,2,25,15,25,25,15,15,1,8,8,8,10,7,8,8,1,1,7,7,7,6,6,9,10,1
23,0,1,6,45,1,-0.1,0,28,2,25,15,25,15,0,20,1,7,8,7,6,6,7,7,2,1,6,7,7,6,7,7,5,2
23,0,4,7,46,0,-0.52,0,26,2,20,35,20,10,10,5,0,6,8,9,8,8,8,6,2,1,7,6,7,7,7,7,5,2
23,0,11,8,47,0,0.21,0,30,2,20,20,25,25,5,5,1,5,6,6,4,7,6,5,2,0,5,6,7,6,6,6,5,2
23,0,15,9,48,0,0.58,0,22,2,30,15,25,25,5,0,0,4,6,6,4,3,3,2,2,0,6,6,6,8,6,6,5,2
23,0,2,10,49,0,-0.23,1,25,4,20,20,20,20,5,15,0,7,8,8,6,7,6,5,2,1,7,7,6,7,6,8,6,2
